name,pavlos,jad,Multi_Rf_Local,Random_Search,SMAC
fl2000_v2_did988,,0.177361,0.041667,0.061111,0.036111
white-clover_v2_did1009,0.108796,0.320602,0.087037,0.12037,0.094444
squash-stored_v2_did972,0.074074,0.1,0.066667,0.074074,0.074074
churn,0.081193,0.077606,0.078494,0.08329,0.078932
phoneme,0.034336,,0.034613,0.035829,0.034655
cylinder-bands,0.090744,0.107649,0.087367,0.092817,0.087032
pc1,0.11659,0.122978,0.11218,0.117856,0.108874
kc1,0.174156,0.169517,0.173784,0.171377,0.169627
spambase,0.010172,0.013639,0.010535,0.011528,0.009698
sick,0.002598,0.003635,0.002402,0.003171,0.001872
balance-scale,3.8e-05,0.072471,0.0,0.000582,0.000568
fl2000_v2_did988,,0.177361,0.041667,0.061111,0.036111
white-clover_v2_did1009,0.108796,0.320602,0.087037,0.12037,0.094444
squash-stored_v2_did972,0.074074,0.1,0.066667,0.074074,0.074074
churn,0.081193,0.077606,0.078494,0.08329,0.078932
phoneme,0.034336,,0.034613,0.035829,0.034655
cylinder-bands,0.090744,0.107649,0.087367,0.092817,0.087032
pc1,0.11659,0.122978,0.11218,0.117856,0.108874
kc1,0.174156,0.169517,0.173784,0.171377,0.169627
spambase,0.010172,0.013639,0.010535,0.011528,0.009698
sick,0.002598,0.003635,0.002402,0.003171,0.001872
balance-scale,3.8e-05,0.072471,0.0,0.000582,0.000568
