,dataset,AUC
0,balance-scale,0.5693491788477844
1,pc1,0.5741290919840677
2,sick,0.5184634143599005
3,cylinder-bands,0.529150463258107
4,white-clover_v2_did1009,0.5925925925925926
5,squash-stored_v2_did972,0.5972222222222222
6,meta_v2_did757,0.5881560283687943
7,Internet-Advertisements,0.5851768481401537
8,Bioresponse,0.5104866845383792
9,nki70_arff_v1_did1228,0.554
10,kc1,0.6146642670149807
11,lungcancer_GSE31210_v1_did1412,0.5640862573099414
12,fl2000_v2_did988,0.6619444444444444
13,spambase,0.5315539306787228
14,langLog_v1_did40593,0.6069895434227331
15,satimage,0.5057806147230647
16,churn,0.5125806631953045
