gr.gnosisda-1,target,columns,under,over,Bush,Gore,Browne,Nader,Harris,Hagelin,Buchanan,McReynolds,Phillips,Moorehead,Chote,McCarthy
sample0,P,1,217.0,105.0,34124.0,47365.0,658.0,3226.0,6.0,42.0,263.0,4.0,20.0,21.0,0.0,0.0
sample1,P,1,79.0,46.0,5610.0,2392.0,17.0,53.0,0.0,3.0,73.0,0.0,3.0,3.0,0.0,0.0
sample2,P,1,541.0,141.0,38637.0,18850.0,171.0,828.0,5.0,18.0,248.0,3.0,18.0,27.0,0.0,0.0
sample3,P,2,41.0,695.0,5414.0,3075.0,28.0,84.0,0.0,2.0,65.0,0.0,2.0,3.0,0.0,0.0
sample4,P,1,277.0,136.0,115185.0,97318.0,643.0,4470.0,11.0,39.0,570.0,11.0,72.0,76.0,0.0,0.0
sample5,N,1,4946.0,7826.0,177902.0,387703.0,1217.0,7104.0,54.0,135.0,795.0,37.0,74.0,122.0,0.0,0.0
sample6,P,1,78.0,0.0,2873.0,2155.0,10.0,39.0,0.0,1.0,90.0,1.0,2.0,3.0,0.0,0.0
sample7,P,2,170.0,2985.0,35426.0,29645.0,127.0,1462.0,6.0,15.0,182.0,3.0,18.0,12.0,0.0,0.0
sample8,P,1,154.0,54.0,29767.0,25525.0,194.0,1379.0,5.0,16.0,270.0,0.0,18.0,28.0,2.0,0.0
sample9,P,1,223.0,157.0,41736.0,14632.0,204.0,562.0,1.0,14.0,186.0,3.0,6.0,9.0,0.0,0.0
sample10,N,1,2070.0,1134.0,60450.0,29921.0,185.0,1400.0,7.0,34.0,122.0,4.0,10.0,29.0,0.0,0.0
sample11,P,1,76.0,615.0,10964.0,7047.0,127.0,258.0,1.0,7.0,89.0,2.0,8.0,5.0,0.0,0.0
sample12,N,2,66.0,568.0,4256.0,3320.0,23.0,157.0,0.0,0.0,36.0,3.0,8.0,2.0,3.0,3.0
sample13,N,1,22.0,306.0,2697.0,1826.0,32.0,75.0,0.0,2.0,29.0,0.0,3.0,2.0,0.0,0.0
sample14,N,2,5090.0,21855.0,152098.0,107864.0,952.0,2757.0,37.0,162.0,652.0,15.0,58.0,41.0,0.0,0.0
sample15,P,1,679.0,3680.0,73017.0,40943.0,296.0,1727.0,6.0,24.0,502.0,3.0,110.0,20.0,0.0,0.0
sample16,P,1,60.0,7.0,12613.0,13897.0,60.0,435.0,1.0,4.0,83.0,3.0,3.0,12.0,0.0,0.0
sample17,P,2,70.0,350.0,2454.0,2046.0,17.0,85.0,1.0,3.0,33.0,0.0,3.0,2.0,0.0,0.0
sample18,P,2,121.0,1946.0,4767.0,9735.0,24.0,139.0,3.0,4.0,38.0,4.0,7.0,6.0,0.0,0.0
sample19,N,1,47.0,241.0,3300.0,1910.0,52.0,97.0,0.0,1.0,29.0,0.0,2.0,4.0,0.0,0.0
sample20,N,1,68.0,281.0,1841.0,1442.0,12.0,56.0,0.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0
sample21,P,2,47.0,362.0,3550.0,2397.0,21.0,86.0,2.0,4.0,71.0,2.0,2.0,9.0,0.0,0.0
sample22,P,2,31.0,373.0,2146.0,1722.0,12.0,37.0,4.0,1.0,23.0,8.0,7.0,4.0,0.0,0.0
sample23,N,1,84.0,323.0,3765.0,2339.0,17.0,75.0,0.0,2.0,30.0,0.0,2.0,3.0,0.0,0.0
sample24,P,2,39.0,760.0,4747.0,3240.0,11.0,104.0,3.0,1.0,22.0,2.0,7.0,2.0,0.0,0.0
sample25,P,1,83.0,148.0,30646.0,32644.0,116.0,1501.0,8.0,26.0,242.0,4.0,10.0,22.0,0.0,0.0
sample26,N,1,466.0,520.0,20206.0,14167.0,64.0,545.0,6.0,16.0,127.0,3.0,7.0,8.0,0.0,0.0
sample27,N,1,5431.0,3640.0,180760.0,169557.0,1138.0,7490.0,35.0,217.0,847.0,29.0,68.0,154.0,0.0,0.0
sample28,P,1,97.0,40.0,5011.0,2177.0,18.0,94.0,1.0,7.0,76.0,3.0,6.0,2.0,0.0,0.0
