,max_depth,max_features,min_samples_leaf,n_estimators,y
0,2,sqrt,18,640,0.20418804985337236
1,44,auto,9,117,0.15794637734285355
2,1,auto,2,585,0.21920920725487691
3,24,log2,11,235,0.1654895288792554
4,6,sqrt,16,735,0.17606942496493683
5,1,auto,17,857,0.23340897137574912
6,1,sqrt,13,214,0.2226202903863317
7,1,log2,4,826,0.2149245346168558
8,3,auto,17,556,0.1901179794083896
9,13,auto,6,204,0.14416219080708925
10,5,sqrt,17,731,0.18001083768965953
11,7,sqrt,9,703,0.15679566970546976
12,26,sqrt,4,604,0.12896113572612522
13,26,log2,5,994,0.14359938798928984
14,12,auto,11,819,0.1566661752518168
15,3,log2,15,522,0.18782732213438746
