,dt_max_depth,dt_min_samples_leaf,y
0,5,8,0.17226541662221262
1,4,20,0.17599021124506575
2,24,18,0.2228162007895017
3,2,13,0.29074335858316447
4,1,19,0.4200189373733062
5,9,6,0.21182452256481388
6,5,13,0.1841539528432733
7,26,3,0.2854088872292755
8,2,20,0.24192227675237388
9,19,15,0.22352968633308434
10,3,7,0.19821761975888186
11,35,1,0.3132381574735944
12,31,7,0.2296036487784061
13,8,8,0.20116024751947081
14,1,5,0.42756921476581666
15,1,15,0.42756921476581666
16,29,10,0.19548970447028702
17,4,1,0.2216652885949001
18,6,17,0.17699442547743538
19,1,17,0.42756921476581666
20,14,17,0.209492691774245
