,tid,did,name,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
11,11,11,balance-scale,class,288,3,49,3,5,625,0,0,4,1
43,43,44,spambase,class,2788,2,1813,2,58,4601,0,0,57,1
2074,2074,182,satimage,class,1531,6,625,6,37,6430,0,0,36,1
3021,3021,38,sick,Class,3541,5,231,2,30,3772,3772,6064,7,23
3917,3917,1067,kc1,defects,1783,2,326,2,22,2109,0,0,21,1
3918,3918,1068,pc1,defects,1032,2,77,2,22,1109,0,0,21,1
9910,9910,4134,Bioresponse,target,2034,2,1717,2,1777,3751,0,0,1776,1
9952,9952,1489,phoneme,Class,3818,2,1586,2,6,5404,0,0,5,1
9976,9976,1485,madelon,Class,1300,2,1300,2,501,2600,0,0,500,1
14954,14954,6332,cylinder-bands,band_type,312,71,228,2,40,540,263,999,18,22
167125,167125,40978,Internet-Advertisements,class,2820,2,459,2,1559,3279,0,0,3,1556
167141,167141,40701,churn,class,4293,10,707,2,21,5000,0,0,16,5
