,tid,did,name,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,MaxNominalAttDistinctValues
3,3,3,kr-vs-kp,37,3196,0,0,0,37,3.0
12,12,12,mfeat-factors,217,2000,0,0,216,1,10.0
31,31,31,credit-g,21,1000,0,0,7,14,10.0
53,53,54,vehicle,19,846,0,0,18,1,4.0
3917,3917,1067,kc1,22,2109,0,0,21,1,2.0
3945,3945,1111,KDDCup09_appetency,231,50000,50000,8024152,192,39,15415.0
7592,7592,1590,adult,15,48842,3620,6465,6,9,41.0
7593,7593,1596,covertype,55,581012,0,0,10,45,7.0
9952,9952,1489,phoneme,6,5404,0,0,5,1,2.0
9977,9977,1486,nomao,119,34465,0,0,89,30,3.0
9981,9981,1468,cnae-9,857,1080,0,0,856,1,9.0
10101,10101,1464,blood-transfusion-service-center,5,748,0,0,4,1,2.0
14965,14965,1461,bank-marketing,17,45211,0,0,7,10,12.0
34539,34539,4135,Amazon_employee_access,10,32769,0,0,0,10,7518.0
146195,146195,40668,connect-4,43,67557,0,0,0,43,
146212,146212,40685,shuttle,10,58000,0,0,9,1,7.0
146606,146606,23512,higgs,29,98050,1,9,28,1,2.0
146818,146818,40981,Australian,15,690,0,0,6,9,14.0
146821,146821,40975,car,7,1728,0,0,0,7,4.0
146822,146822,40984,segment,20,2310,0,0,19,1,7.0
146825,146825,40996,Fashion-MNIST,785,70000,0,0,784,1,10.0
167119,167119,41027,jungle_chess_2pcs_raw_endgame_complete,7,44819,0,0,6,1,3.0
167120,167120,23517,numerai28.6,22,96320,0,0,21,1,2.0
168329,168329,41169,helena,28,65196,0,0,27,1,100.0
168330,168330,41168,jannis,55,83733,0,0,54,1,4.0
168331,168331,41166,volkert,181,58310,0,0,180,1,10.0
168332,168332,41165,robert,7201,10000,0,0,7200,1,10.0
168335,168335,41150,MiniBooNE,51,130064,0,0,50,1,2.0
168337,168337,41159,guillermo,4297,20000,0,0,4296,1,2.0
168338,168338,41161,riccardo,4297,20000,0,0,4296,1,2.0
168868,168868,41138,APSFailure,171,76000,75244,1078695,170,1,2.0
168908,168908,41142,christine,1637,5418,0,0,1599,38,2.0
168909,168909,41163,dilbert,2001,10000,0,0,2000,1,5.0
168910,168910,41164,fabert,801,8237,0,0,800,1,7.0
168911,168911,41143,jasmine,145,2984,0,0,8,137,2.0
168912,168912,41146,sylvine,21,5124,0,0,20,1,2.0
189354,189354,1169,airlines,8,539383,0,0,3,5,293.0
189355,189355,41167,dionis,61,416188,0,0,60,1,355.0
189356,189356,41147,albert,79,425240,425159,2734000,26,53,
