,tid,did,name,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,MaxNominalAttDistinctValues
167210,167210,41021,Moneyball,15,1232,1118,3600,9,6,39.0
233211,233211,42225,diamonds,10,53940,0,0,7,3,
233212,233212,42571,Allstate_Claims_Severity,131,188318,0,0,15,116,
233213,233213,4549,Buzzinsocialmedia_Twitter,78,583250,0,0,78,0,
233214,233214,42572,Santander_transaction_value,4992,4459,0,0,4992,0,
233215,233215,42570,Mercedes_Benz_Greener_Manufacturing,377,4209,0,0,369,8,
317614,317614,42705,Yolanda,101,400000,0,0,101,0,
359929,359929,42728,Airlines_DepDelay_10M,10,10000000,0,0,7,3,
359930,359930,550,quake,4,2178,0,0,4,0,
359931,359931,546,sensory,12,576,0,0,1,11,6.0
359932,359932,541,socmob,6,1156,0,0,2,4,17.0
359933,359933,507,space_ga,7,3107,0,0,7,0,
359934,359934,505,tecator,125,240,0,0,125,0,
359935,359935,287,wine_quality,12,6497,0,0,12,0,
359936,359936,216,elevators,19,16599,0,0,19,0,
359937,359937,41540,black_friday,10,166821,0,0,6,4,7.0
359938,359938,42688,Brazilian_houses,13,10692,0,0,9,4,
359939,359939,422,topo_2_1,267,8885,0,0,267,0,
359940,359940,416,yprop_4_1,252,8885,0,0,252,0,
359941,359941,42724,OnlineNewsPopularity,60,39644,0,0,60,0,
359942,359942,42727,colleges,45,7063,7063,104249,33,12,
359943,359943,42729,nyc-taxi-green-dec-2016,19,581835,0,0,10,9,
359944,359944,42726,abalone,9,4177,0,0,8,1,
359945,359945,42730,us_crime,127,1994,1871,39202,127,0,
359946,359946,201,pol,49,15000,0,0,49,0,
359948,359948,41980,SAT11-HAND-runtime-regression,117,4440,2715,27150,116,1,15.0
359949,359949,42731,house_sales,22,21613,0,0,21,1,
359950,359950,531,boston,14,506,0,0,12,2,9.0
359951,359951,42563,house_prices_nominal,80,1460,1460,6965,37,43,
359952,359952,574,house_16H,17,22784,0,0,17,0,
360932,360932,3050,QSAR-TID-11,1026,5742,0,0,1025,1,
360933,360933,3277,QSAR-TID-10980,1026,5766,0,0,1025,1,
360945,360945,43071,MIP-2016-regression,145,1090,0,0,144,1,
