,tid,ttid,did,name,task_type,status,estimation_procedure,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
11,11,TaskType.SUPERVISED_CLASSIFICATION,11,balance-scale,Supervised Classification,active,10-fold Crossvalidation,11,class,288,3.0,49,3,5,625,0,0,4,1
43,43,TaskType.SUPERVISED_CLASSIFICATION,44,spambase,Supervised Classification,active,10-fold Crossvalidation,44,class,2788,2.0,1813,2,58,4601,0,0,57,1
2074,2074,TaskType.SUPERVISED_CLASSIFICATION,182,satimage,Supervised Classification,active,10-fold Crossvalidation,182,class,1531,6.0,625,6,37,6430,0,0,36,1
3021,3021,TaskType.SUPERVISED_CLASSIFICATION,38,sick,Supervised Classification,active,10-fold Crossvalidation,38,Class,3541,5.0,231,2,30,3772,3772,6064,7,23
3917,3917,TaskType.SUPERVISED_CLASSIFICATION,1067,kc1,Supervised Classification,active,10-fold Crossvalidation,1067,defects,1783,2.0,326,2,22,2109,0,0,21,1
3918,3918,TaskType.SUPERVISED_CLASSIFICATION,1068,pc1,Supervised Classification,active,10-fold Crossvalidation,1068,defects,1032,2.0,77,2,22,1109,0,0,21,1
9910,9910,TaskType.SUPERVISED_CLASSIFICATION,4134,Bioresponse,Supervised Classification,active,10-fold Crossvalidation,4134,target,2034,2.0,1717,2,1777,3751,0,0,1776,1
9952,9952,TaskType.SUPERVISED_CLASSIFICATION,1489,phoneme,Supervised Classification,active,10-fold Crossvalidation,1489,Class,3818,2.0,1586,2,6,5404,0,0,5,1
9976,9976,TaskType.SUPERVISED_CLASSIFICATION,1485,madelon,Supervised Classification,active,10-fold Crossvalidation,1485,Class,1300,2.0,1300,2,501,2600,0,0,500,1
14954,14954,TaskType.SUPERVISED_CLASSIFICATION,6332,cylinder-bands,Supervised Classification,active,10-fold Crossvalidation,6332,band_type,312,71.0,228,2,40,540,263,999,18,22
167125,167125,TaskType.SUPERVISED_CLASSIFICATION,40978,Internet-Advertisements,Supervised Classification,active,10-fold Crossvalidation,40978,class,2820,2.0,459,2,1559,3279,0,0,3,1556
167141,167141,TaskType.SUPERVISED_CLASSIFICATION,40701,churn,Supervised Classification,active,10-fold Crossvalidation,40701,class,4293,10.0,707,2,21,5000,0,0,16,5
